,Height,Weight,BMI,FCVC,NCP,CH2O,FAF,TUE
0,1.7,81.7,28.27,2.0,3.0,2.76,0.0,0.98
1,1.56,57.0,23.42,2.0,3.0,2.0,1.0,1.0
2,1.71,50.2,17.17,1.9,1.4,1.91,0.87,1.67
3,1.71,131.3,44.9,3.0,3.0,1.67,1.47,0.78
4,1.91,93.8,25.71,2.7,2.0,1.98,1.97,0.93
5,1.75,51.6,16.85,2.9,3.0,2.14,1.93,1.0
6,1.75,112.7,36.8,2.0,3.0,2.0,0.0,0.7
7,1.75,118.2,38.6,1.4,3.0,2.0,0.6,0.0
8,1.7,70.0,24.22,2.0,3.0,3.0,1.0,1.0
9,1.64,111.3,41.38,3.0,3.0,2.63,0.0,0.22
10,1.65,65.0,23.88,3.0,3.0,3.0,1.0,0.0
11,1.7,70.0,24.22,2.0,3.0,2.0,2.0,1.0
12,1.81,108.3,33.06,2.0,2.2,2.53,1.0,0.55
13,1.73,131.5,43.94,3.0,3.0,1.96,1.43,0.95
14,1.57,49.0,19.88,2.0,1.0,1.0,3.0,2.0
15,1.71,102.6,35.09,2.6,3.0,1.0,2.0,0.93
16,1.7,80.0,27.68,3.0,3.0,2.0,0.0,0.0
17,1.56,50.0,20.55,3.0,3.0,1.0,1.0,0.0
18,1.7,80.0,27.68,1.0,3.0,2.0,0.0,1.0
19,1.77,114.5,36.55,1.4,3.0,1.24,1.1,0.62
20,1.67,80.0,28.69,2.0,1.0,2.0,2.0,1.0
21,1.65,64.0,23.51,2.0,3.0,1.0,1.0,0.0
22,1.66,112.6,40.86,3.0,3.0,2.72,0.0,0.08
23,1.5,77.9,34.62,2.0,1.0,1.0,0.0,0.0
24,1.75,52.1,17.01,2.0,3.0,2.07,0.68,1.26
25,1.85,96.1,28.08,2.0,3.0,3.0,2.0,0.0
26,1.61,112.0,43.21,3.0,3.0,2.61,0.0,0.08
27,1.68,111.2,39.4,3.0,3.0,2.49,0.0,0.25
28,1.55,45.0,18.73,3.0,3.0,2.0,2.0,0.0
29,1.55,80.0,33.3,2.0,3.0,2.0,1.0,0.0
30,1.85,119.8,35.0,2.2,3.0,2.85,1.19,0.0
31,1.7,97.0,33.56,2.0,3.0,3.0,3.0,0.0
32,1.64,111.9,41.6,3.0,3.0,2.63,0.0,0.23
33,1.72,86.5,29.24,3.0,3.0,1.73,0.0,0.45
34,1.75,119.1,38.89,2.7,3.0,2.94,2.0,0.83
35,1.69,79.7,27.91,2.0,1.9,1.0,1.0,0.7
36,1.7,80.0,27.68,2.0,3.0,3.0,2.0,1.0
37,1.76,133.8,43.19,3.0,3.0,2.87,1.47,0.93
38,1.71,78.0,26.67,2.0,3.0,1.0,0.83,0.0
39,1.65,49.6,18.22,2.4,4.0,1.44,2.0,1.0
40,1.57,45.0,18.26,3.0,3.0,3.0,1.0,0.0
41,1.79,105.0,32.77,2.0,1.7,3.0,1.0,1.0
42,1.66,85.0,30.85,2.0,3.0,2.37,1.0,0.0
43,1.68,107.4,38.05,3.0,3.0,1.51,0.04,0.87
44,1.74,78.0,25.76,3.0,3.0,2.0,1.0,0.0
45,1.55,68.0,28.3,2.0,3.0,2.0,2.0,1.0
46,1.84,121.0,35.74,2.2,2.9,2.11,1.63,0.0
47,1.62,111.9,42.64,3.0,3.0,2.77,0.0,0.1
48,1.5,80.0,35.56,2.0,3.0,2.0,0.0,0.0
49,1.66,111.9,40.61,3.0,3.0,2.79,0.0,0.43
50,1.85,121.0,35.35,2.9,3.0,1.94,1.43,0.0
51,1.62,70.0,26.67,2.0,1.0,3.0,1.0,0.0
52,1.6,42.8,16.72,3.0,2.6,1.16,0.54,0.0
